id,name,dataset,state,region,province,municipality,lapse_rate_code,lat,lon,utmx,utmy,altitude,value
3142,Porretta Terme,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,ALTO RENO TERME,1,44.154,10.9773,658118,4.89088e+06,352,11.4
3143,Imola,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,IMOLA,0,44.3453,11.7129,716242,4.91381e+06,42,12.6
3148,Saletto,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,BENTIVOGLIO,0,44.6323,11.4411,693626,4.94501e+06,18,11.7
3172,Ostia Parmense,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,BORGO VAL DI TARO,1,44.5141,9.84219,566936,4.92932e+06,354,12.3
3202,Quarto,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,SARSINA,1,43.8921,12.0952,748607,4.86455e+06,247,11.8
4,Martorano,locali,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,CESENA,0,44.1661,12.268,761279,4.89552e+06,25,11.9
4058,Fortunago,fidupo,ITALY,LOMBARDIA,PAVIA,FORTUNAGO,0,44.9126,9.19497,515390,4.97326e+06,501,13.4
4059,Casanova,fidupo,ITALY,LOMBARDIA,PAVIA,SANTA MARGHERITA DI STAFFORA,1,44.7668,9.2381,518842,4.95707e+06,562,12.3
4166,Voghera,fidupo,ITALY,LOMBARDIA,PAVIA,VOGHERA,0,44.9903,9.01748,501378,4.98188e+06,93,16
5301,Bobbio,simnpr,ITALY,EMILIA-ROMAGNA,PIACENZA,BOBBIO,1,44.7551,9.38369,530370,4.95582e+06,272,13.7
53010,Gainago,agrmet,ITALY,EMILIA-ROMAGNA,PARMA,TORRILE,0,44.8855,10.3807,609037,4.97116e+06,28,13.4
53016,Riccione Urbana,rmap,ITALY,EMILIA-ROMAGNA,RIMINI,RICCIONE,1,44.0003,12.6552,793055,4.87841e+06,22,9.67999
53066,Vicomarino,rmap,ITALY,EMILIA-ROMAGNA,PIACENZA,ZIANO PIACENTINO,0,44.9806,9.38482,530340,4.98087e+06,234,15.03
53069,Albareto - Caraffini,rmap,ITALY,EMILIA-ROMAGNA,PIACENZA,ZIANO PIACENTINO,0,44.98,9.41685,532866,4.98081e+06,254,13.7
53083,GIRALDA,locali,ITALY,EMILIA-ROMAGNA,CODIGORO,FERRARA,0,44.8138,12.2483,756848,4.9674e+06,-1,10.13
53084,UMANA,locali,ITALY,EMILIA-ROMAGNA,ARGENTA,FERRARA,0,44.5734,12.1013,746242,4.94024e+06,-1,12.22
53085,MARTINELLA,locali,ITALY,EMILIA-ROMAGNA,OSTELLATO,FERRARA,0,44.711,11.8848,728510,4.95489e+06,-3,11.19
53128,Novafeltria,simnbo,ITALY,EMILIA-ROMAGNA,RIMINI,NOVAFELTRIA,0,43.9011,12.2861,763904,4.86614e+06,331,11.3
53129,Saludecio,simnbo,ITALY,EMILIA-ROMAGNA,RIMINI,SALUDECIO,0,43.8739,12.6697,794847,4.86442e+06,328,11
53133,Tredozio,simnbo,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,TREDOZIO,1,44.082,11.7453,719804,4.88465e+06,330,11.2
53134,Premilcuore,simnbo,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,PREMILCUORE,1,43.9849,11.7871,723512,4.87398e+06,427,9.49999
53138,Verghereto,simnbo,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,VERGHERETO,0,43.7942,12.0047,741737,4.8534e+06,805,7.99999
53148,Villa Ghigi,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,BOLOGNA,0,44.4761,11.3256,684953,4.92739e+06,203,11.3
53149,Frassinoro,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,FRASSINORO,0,44.2947,10.5748,625635,4.90581e+06,1105,8.89999
5317,Santo Stefano d'Aveto,simnpr,ITALY,LIGURIA,GENOVA,SANTO STEFANO D'AVETO,1,44.5459,9.45005,535750,4.93261e+06,1007,8.19999
5343,Monteombraro,simnbo,ITALY,EMILIA-ROMAGNA,MODENA,ZOCCA,0,44.3763,11.0088,660029,4.91563e+06,700,10.8
5345,Cottede,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,CASTIGLIONE DEI PEPOLI,0,44.1096,11.1693,673603,4.88634e+06,794,4.69999
5346,Firenzuola,simnbo,ITALY,TOSCANA,FIRENZE,FIRENZUOLA,1,44.1219,11.3745,689984,4.88815e+06,476,10.3
5356,Casoni di Romagna,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,MONTERENZIO,0,44.2536,11.4254,693622,4.9029e+06,708,8.29999
5360,Casteldelci,simnbo,ITALY,EMILIA-ROMAGNA,RIMINI,CASTELDELCI,0,43.7882,12.1427,752866,4.85315e+06,720,7.69999
5385,Sassostorno,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,LAMA MOCOGNO,0,44.2594,10.6741,633632,4.90205e+06,971,11.4
5391,Nociveglia,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,BEDONIA,0,44.5471,9.61004,548458,4.93282e+06,855,8.29999
5392,Doccia di Fiumalbo,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,FIUMALBO,0,44.1901,10.6731,633712,4.89435e+06,1371,8.29999
5393,Pontelagoscuro,simnpr,ITALY,EMILIA-ROMAGNA,FERRARA,FERRARA,0,44.8883,11.6081,705955,4.97385e+06,8,9.89999
5398,Lago Ballano,simnpr,ITALY,EMILIA-ROMAGNA,PARMA,MONCHIO DELLE CORTI,0,44.3695,10.1021,587808,4.9135e+06,1339,5.29999
